state,bea,industry,census_share,share_ratio_before,factor,share_ratio_after,output_unadjusted,output_adjusted
AL,ORE,Other real estate,0.009161993148253625,1.0244494613189612,0.9759721829388935,0.9998341770740404,19761.794082702574,19286.961309684142
AR,211,Oil and gas extraction,0.0026279036362819165,0.44220183707009497,2.06885688221223,0.9148523139493573,401.0273061869228,829.6681023598464
AR,212,"Mining, except oil and gas",0.005066420167728379,1.0246218169690493,0.9755845243587155,0.9996051879553131,677.530884563129,660.9886457548599
AR,213,Support activities for mining,0.002702813218831778,1.5899720254447314,0.6288307721733276,0.99982333649440025,464.8025435335551,326.808
AR,22,Utilities,0.009964652997252646,1.0640377217064674,0.9426554025320522,1.0030209068644982,6756.43090377703,6368.986093279933
AR,23,Construction,0.006153720186063867,0.975736517216404,1.0248668389011568,1.0000000000000004,14785.335722443522,15153.000283953044
AR,311FT,Food and beverage and tobacco products,0.02120904395401633,0.8131608512299713,1.22976899156842,1,18426.717276201445,22660.605522670634
AR,315AL,Apparel and leather and allied products,0.014739711275572574,0.5085395487694273,1.9741311315309,1.003923754840403,128.19148490945673,253.06680115693212
AR,321,Wood products,0.02726371738232434,1.2715695943207015,0.7864296256110312,1.0000000000000002,5876.443750201294,4621.409458395088
AR,322,Paper products,0.026495011936853063,0.8832684526001774,1.1327364405398248,1.0005103630394436,4694.392131463441,5317.50903349206
AR,324,Petroleum and coal products,0.005478141231846366,0.3788945760382462,2.0087589090980096,0.7611078552257405,1447.432145196557,2907.542216978428
AR,325,Chemical products,0.004902837086811652,0.6812807796797576,1.4702832641820975,1.0016757285720783,3147.6048000391106,4627.870659756742
AR,326,Plastics and rubber products,0.013724560882923224,1.1830300588203657,0.845583162781375,1.0003502988027608,5005.772557891935,4232.796991666476
AR,327,Nonmetallic mineral products,0.008377796593190438,0.7400256716083071,1.3513044727579346,1.0000000000000007,1022.9620686059848,1382.3332187689764
AR,331,Primary metals,0.03482809698272827,1.3865491590946015,0.7225639606602022,1.001870452045468,15895.51653332381,11485.52738305818
AR,332,Fabricated metal products,0.012682210540070231,1.0155113205255677,0.9851422258705923,1.0004230826993425,5488.218716997138,5406.676002927206
AR,333,Machinery,0.012107028928103246,0.8514816788823371,1.1749081031728024,1.0004127242220395,4002.1597286332353,4702.169895363052
AR,334,Computer and electronic products,0.003273211825288051,0.21862296324101743,2.070722114649943,0.4527074047534762,277.32276343335656,574.2583791372859
AR,335,"Electrical equipment, appliances, and components",0.015203530234037428,0.5927317469931931,1.6926381433002033,1.0032803637056444,1448.4450762701842,2451.693384570286
AR,337,Furniture and related products,0.005569359445892111,1.1234489488077763,0.8901161027932939,1.0000000000000007,551.7475727554179,491.1193991867119
AR,339,Miscellaneous manufacturing,0.0037048260534228057,0.8146041279700452,1.2298806774847542,1.0018658767896764,511.31507545426547,628.8565314078602
AR,42,Wholesale trade,0.008535447150063664,0.9868397621617025,1.0132758937088053,0.9999409419517842,24535.291588576987,24861.01951182148
AR,441,Motor vehicle and parts dealers,0.008857649808077406,0.9718864423853514,1.026104275599667,0.9972568339289587,4655.7951980084845,4777.331358992904
AR,445,Food and beverage stores,0.006199283961857056,0.9232157552187734,1.083170422891051,0.9999999999999999,2012.6810680500735,2180.0766036246105
AR,452,General merchandise stores,0.014444392889620131,0.7739736575274183,1.292033637416884,1.0000000000000002,3474.600572226562,4489.300815904671
