state,bea,industry,output_type1,output_type2,direct_jobs,jobs_type1,jobs_type2,labor_type2,va_type2,jobs_multiplier,direct_jobs_se,jobs_type2_se,labor_type2_se,output_type2_se
AL,332,Fabricated metal products,1.424736141129909,1.7166256941081217,3.103315962205548,3.9286479279666446,5.153802516515598,0.40071064373310794,0.7741701057469571,1.6607405044418213,3.2308279133775195,6.143990909632719,0.4555013621950293,1.7565368833149093
AL,333,Machinery,1.4965471424120198,1.8899732814641454,3.6453636544816295,4.93609031029967,6.587426696260654,0.540101692001204,0.9055584629598182,1.8070698346273455,3.7827387175054077,7.930535860446553,0.606236668529493,1.9381479657081824
AL,334,Computer and electronic products,1.1952938065639913,1.7127641108290208,5.013233388460448,5.617625985495245,7.789615737233443,0.7103915046602701,1.1604620635933969,1.5538107112993627,5.094967589993523,9.109031008209218,0.7654239829929742,1.7528514051174022
AL,335,"Electrical equipment, appliances, and components",1.3951632204074755,1.6929340394602734,2.8263561458804918,3.6942647913145543,4.944104950293264,0.4087845398032703,0.79711056106079,1.7492858985586306,2.8758814109149613,5.753826396649606,0.4423796743871561,1.7174057348576746
AL,3361MV,"Motor vehicles, bodies and trailers, and parts",1.402236459929616,1.588177533119826,1.6722085131042264,2.406819376257928,3.187274026636265,0.2552628772569823,0.4650146076695998,1.906026671709455,1.6722085131042264,3.596352026844325,0.26691089466607093,1.5966622954983496
AL,3364OT,Other transportation equipment,1.3578716286334078,1.635834209136672,1.8219292206029223,2.5851030222977855,3.7518016159055563,0.381591473318308,0.7887638264588828,2.0592466345448868,1.8219292206029223,4.346486072792322,0.39740197113012554,1.6473510460633412
AL,337,Furniture and related products,1.3519665814653459,1.6338076577983363,4.028464461785852,4.937925595586607,6.120903487010868,0.386915934385131,0.7127378339065226,1.5194135495233885,4.255100214782506,7.231213840594069,0.4545040584630774,1.6830408579448415
AL,339,Miscellaneous manufacturing,1.3788554263994424,1.8833202556386381,5.600504346716088,6.719884639375974,8.837286218150863,0.6925373806723335,1.0974277081373147,1.5779447119495043,6.648271775649017,12.004780205114752,0.9188653446439415,2.0481842772545535
AL,311FT,Food and beverage and tobacco products,1.6334266871012153,1.890499826025062,2.6902542308333803,4.178646246889614,5.257665117320867,0.35291411403255796,0.7237027437100405,1.9543376447705318,2.838244334967812,7.600554843529266,0.4417562586612394,1.9552150869916856
AL,313TT,Textile mills and textile product mills,1.2519847561482742,1.5776321903315615,4.953552003677364,5.849467584563444,7.216314887483625,0.4470540026191339,0.6484393779639508,1.456796028814567,5.086972705694341,8.181161964270757,0.4830291395396425,1.6038375502297406
AL,315AL,Apparel and leather and allied products,1.382053512014882,1.8656270780272968,9.443981950596662,10.813268743575245,12.842982953132141,0.6638575205999658,1.0149558653493354,1.3599118486583652,14.124063224141132,19.39591964095183,0.8165307980140496,1.9768388349223724
AL,322,Paper products,1.365498497708244,1.5481408772984335,1.237746619750961,1.923426374120064,2.690035343626835,0.2507343779583431,0.6280140906046137,2.1733328135996683,1.2406192913375416,3.154502955487864,0.2635451114375155,1.5574725966501384
AL,323,Printing and related support activities,1.550434275437259,2.0324162103571304,6.819400072312173,8.610365634665904,10.633399255224633,0.6616725039963526,1.057457914222327,1.55928661502027,8.768548829906223,14.828033285217858,0.8329412142612457,2.1571734337057364
AL,324,Petroleum and coal products,1.1962621908760664,1.2844907681159705,0.3299403975836187,0.8029457310310392,1.173269523519367,0.12112160103276146,0.44457376230927576,3.556004454477323,0.3346355465849157,1.5553479214641326,0.13575762037354466,1.2951520799867042
AL,325,Chemical products,1.3662316264617995,1.623268615889091,1.5446724311857332,2.483588439221571,3.5624555785575165,0.35286448742588994,0.8632166865751402,2.3062854665068873,1.6075317978950596,4.565573723725297,0.38827478585501746,1.6490625306276956
AL,326,Plastics and rubber products,1.3349002936200882,1.6234486209958685,3.223647692642577,4.142380502131495,5.353510889278133,0.396123755821746,0.6584115886788104,1.6606997413199351,3.2350835234338207,6.113469631397811,0.4183600888706789,1.6396462274608734
AL,42,Wholesale trade,1.2916332501243872,1.601616238630624,2.4709150161018707,3.6287035589018544,4.929802131514619,0.4255496012216558,0.9288157032969137,1.9951322078619695,2.7516511933158676,6.5848769643430956,0.4799789175672891,1.641264171785147
AL,441,Motor vehicle and parts dealers,1.2071826886023371,1.5498459907487518,4.414127675762265,5.202501222697627,6.6407696110950445,0.4704136581313387,0.9864581841636735,1.50443532649931,5.204654336295943,8.688005419729052,0.5441715012852135,1.6035733978030071
AL,445,Food and beverage stores,1.307266556823952,1.7373634059265124,10.99638843939564,12.03400507448985,13.839260256876514,0.5904438288832208,1.092563235091042,1.2585277732910933,12.41129861090206,16.82948245747566,0.6605558077123116,1.788435056951765
