state,bea,industry,effect,output,jobs,jobs_per_year,labor_income,value_added
PA,111CA,Farms,Direct,0,0,0,0,0
PA,111CA,Farms,Indirect,0.18389647654219865,1.4705426413110425,1.4705426413110425,0.035963756274294906,0.07361349368725345
PA,111CA,Farms,Induced,0.4596128593360358,3.6753303861884525,3.6753303861884525,0.08988429340515387,0.18398236309628244
PA,113FF,"Forestry, fishing, and related activities",Direct,0,0,0,0,0
PA,113FF,"Forestry, fishing, and related activities",Indirect,0.016799965009508342,0.26929277789575085,0.26929277789575085,0.013136051261127536,0.013136051261127536
PA,113FF,"Forestry, fishing, and related activities",Induced,0.044994809793614365,0.7212382474222755,0.7212382474222755,0.035181866605024495,0.035181866605024495
PA,211,Oil and gas extraction,Direct,0,0,0,0,0
PA,211,Oil and gas extraction,Indirect,0.08279581521304759,0.013203544438358162,0.013203544438358162,0.005155131430013574,0.022432504508952567
PA,211,Oil and gas extraction,Induced,0.3691479267464281,0.058868446944842154,0.058868446944842154,0.022984326859976006,0.10001607581133849
PA,212,"Mining, except oil and gas",Direct,0,0,0,0,0
PA,212,"Mining, except oil and gas",Indirect,0.059615543902157196,0.10971391972320287,0.10971391972320287,0.016804663330210766,0.0453219059547192
PA,212,"Mining, except oil and gas",Induced,0.07325303889764678,0.13481178738027516,0.13481178738027516,0.020648853906459857,0.055689625934896514
PA,213,Support activities for mining,Direct,0,0,0,0,0
PA,213,Support activities for mining,Indirect,0.0035279921130267193,0.009009172695595319,0.009009172695595319,0.0014520802879299823,0.0026978656338620304
PA,213,Support activities for mining,Induced,0.011254450767948542,0.028739659079208342,0.028739659079208342,0.004632200296387896,0.008606310610142385
PA,22,Utilities,Direct,0,0,0,0,0
PA,22,Utilities,Indirect,0.39526345764612947,0.3439516477699836,0.3439516477699836,0.05586287449612761,0.21900102265691834
PA,22,Utilities,Induced,1.6627461457290784,1.4468938769409816,1.4468938769409816,0.23499713282613133,0.9212668140436263
PA,23,Construction,Direct,0,0,0,0,0
PA,23,Construction,Indirect,0.23053250046864612,1.357646143469473,1.357646143469473,0.10772030336087057,0.12162764228449162
PA,23,Construction,Induced,0.4970878953975514,2.9274374015807325,2.9274374015807325,0.23227292802701194,0.2622607597733798
PA,321,Wood products,Direct,0,0,0,0,0
PA,321,Wood products,Indirect,0.19986588105976116,0.6904319023414944,0.6904319023414944,0.05623914267050607,0.07275612409916205
PA,321,Wood products,Induced,0.12592923086779062,0.43501951392320254,0.43501951392320254,0.035434522108569226,0.04584135471321125
PA,327,Nonmetallic mineral products,Direct,0,0,0,0,0
PA,327,Nonmetallic mineral products,Indirect,0.11607213377711863,0.34362605118325434,0.34362605118325434,0.030538321604851905,0.055284620387185096
PA,327,Nonmetallic mineral products,Induced,0.13739363860136405,0.4067473557515733,0.4067473557515733,0.03614796235353059,0.0654399545051516
PA,331,Primary metals,Direct,0,0,0,0,0
PA,331,Primary metals,Indirect,0.3069001189860124,0.38007859503692887,0.38007859503692887,0.04151882124118729,0.07666884115439425
PA,331,Primary metals,Induced,0.23545836086456057,0.2916019820480395,0.2916019820480395,0.031853860554952144,0.058821481487994494
PA,332,Fabricated metal products,Direct,0,0,0,0,0
PA,332,Fabricated metal products,Indirect,0.6582373582639811,2.231021233683822,2.231021233683822,0.18975281807901773,0.2603415324763814
PA,332,Fabricated metal products,Induced,0.4062682096666055,1.3770002430846624,1.3770002430846624,0.1171166247438041,0.16068442025227966
PA,333,Machinery,Direct,0,0,0,0,0
PA,333,Machinery,Indirect,0.07120707468236694,0.19229375459651923,0.19229375459651923,0.01937536755538777,0.03015388932671652
PA,333,Machinery,Induced,0.14615207976555417,0.39468174034072245,0.39468174034072245,0.0397678219063701,0.06189067108540112
PA,334,Computer and electronic products,Direct,0,0,0,0,0
PA,334,Computer and electronic products,Indirect,0.09162884861395701,0.20184948076757298,0.20184948076757298,0.021619690962009164,0.03293324928463857
PA,334,Computer and electronic products,Induced,0.29116201665185726,0.6414017284886495,0.6414017284886495,0.06869924609016297,0.10464947908505212
PA,335,"Electrical equipment, appliances, and components",Direct,0,0,0,0,0
PA,335,"Electrical equipment, appliances, and components",Indirect,0.08186175833358206,0.22880171214055686,0.22880171214055686,0.024128441769861727,0.03614747738395952
PA,335,"Electrical equipment, appliances, and components",Induced,0.1841397873511117,0.5146664263849419,0.5146664263849419,0.05427450163617326,0.08131011273466458
PA,3361MV,"Motor vehicles, bodies and trailers, and parts",Direct,0,0,0,0,0
PA,3361MV,"Motor vehicles, bodies and trailers, and parts",Indirect,0.09235774188822503,0.16798304958891108,0.16798304958891108,0.01418026447731535,0.02096574032311854
PA,3361MV,"Motor vehicles, bodies and trailers, and parts",Induced,0.26919379596798415,0.4896178041234931,0.4896178041234931,0.04133101507720116,0.06110854496301692
PA,3364OT,Other transportation equipment,Direct,0,0,0,0,0
PA,3364OT,Other transportation equipment,Indirect,0.013290042848056207,0.03076334205167142,0.03076334205167142,0.00384738870341253,0.006096560958024684
PA,3364OT,Other transportation equipment,Induced,0.09999215553876419,0.23145846243624724,0.23145846243624724,0.028947136893992573,0.04586954899513528
PA,337,Furniture and related products,Direct,0,0,0,0,0
PA,337,Furniture and related products,Indirect,0.03019780225177638,0.14857195419344893,0.14857195419344893,0.012170158718515695,0.013439470852509563
PA,337,Furniture and related products,Induced,0.16219816122740766,0.7980083311765673,0.7980083311765673,0.06536824599124033,0.07218596379867884
PA,339,Miscellaneous manufacturing,Direct,0,0,0,0,0
PA,339,Miscellaneous manufacturing,Indirect,0.11898513725803178,0.49828241766111075,0.49828241766111075,0.0509774335044402,0.06567485366943557
PA,339,Miscellaneous manufacturing,Induced,0.35784297152960665,1.4985641493200217,1.4985641493200217,0.15331256244737776,0.19751445712818658
PA,311FT,Food and beverage and tobacco products,Direct,0,0,0,0,0
PA,311FT,Food and beverage and tobacco products,Indirect,2.644409403028379,5.352888265122828,5.352888265122828,0.3819240451044905,0.6937730920746882
